pl_name,hostname,discoverymethod,disc_year,pl_orbper,pl_rade,pl_radj,pl_bmasse,pl_bmassj,pl_eqt,sy_dist,st_teff,st_mass,st_rad,DBSCAN_Cluster,Cluster_Name,LOF_Score,LOF_Label,Potential_Outlier,Outlier_Status
WASP-169 b,WASP-169,Transit,2019,5.6114118,14.616536,1.304,178.30263,0.561,1604.0,627.066,6110.0,1.337,2.011,0,Cluster 0,0.9763917564405661,1,False,Normal
Kepler-1998 b,Kepler-1998,Transit,2023,3.03267135,0.6,0.05352851,0.156,0.00049,1187.0,340.965,5640.0,0.962,0.921,1,Cluster 1,1.077723777539814,1,False,Normal
Kepler-164 e,Kepler-164,Transit,2023,94.886902,4.24,0.37826811,16.7,0.0525,429.0,890.758,5888.0,0.966,1.097,1,Cluster 1,1.1576320732857046,1,False,Normal
Kepler-1994 b,Kepler-1994,Transit,2023,4.61225043,0.51,0.04549923,0.087,0.000274,1032.0,241.991,5495.0,0.932,0.961,1,Cluster 1,1.0948072176384713,1,False,Normal
Kepler-1984 b,Kepler-1984,Transit,2023,1.992812339,6.81,0.60754855,37.3,0.117,675.0,,3638.0,0.45,0.42,1,Cluster 1,1.2000104191129122,1,False,Normal
GJ 433 d,GJ 433,Radial Velocity,2020,36.059,2.14,0.191,5.223,0.01643331,279.71,9.06456,3461.0,0.48,0.5,1,Cluster 1,0.980438587592013,1,False,Normal
GJ 3082 b,GJ 3082,Radial Velocity,2020,11.949,2.79,0.249,8.2,0.02579996,457.53,16.6186,3910.0,0.47,0.465216,1,Cluster 1,1.170925668603148,1,False,Normal
WASP-175 b,WASP-175,Transit,2019,3.0652907,13.540472,1.208,314.6517,0.99,1571.0,539.36,6229.0,1.212,1.204,0,Cluster 0,0.9794185811151435,1,False,Normal
Kepler-619 d,Kepler-619,Transit,2023,11.67894236,4.17,0.37202312,16.2,0.051,830.0,900.678,6122.0,1.041,0.964,1,Cluster 1,1.1766390357755119,1,False,Normal
Kepler-1126 c,Kepler-1126,Transit,2023,199.66876,1.45,0.12936056,2.7,0.00849,305.0,635.736,5678.0,0.794,0.921,1,Cluster 1,1.3833875719250028,1,False,Normal
EPIC 249893012 b,EPIC 249893012,Transit,2020,3.5951,1.95,0.17396735,8.75,0.02753044,1616.0,321.296,5430.0,1.05,1.71,1,Cluster 1,1.2494771074904616,1,False,Normal
Kepler-1661 b,Kepler-1661,Transit,2020,175.06,3.87,0.34525827,17.0,0.05348771,243.0,410.607,5100.0,0.841,0.762,1,Cluster 1,1.1431913914781642,1,False,Normal
OGLE-2016-BLG-1067L b,OGLE-2016-BLG-1067L,Microlensing,2019,,14.3,1.28,140.0,0.43,,3730.0,,0.3,,0,Cluster 0,0.9686821296013722,1,False,Normal
Kepler-1987 c,Kepler-1987,Transit,2023,3.64830183,1.33,0.11865486,2.33,0.00733,860.0,595.683,4769.0,0.799,0.714,1,Cluster 1,1.0437508735080447,1,False,Normal
Kepler-1985 b,Kepler-1985,Transit,2023,3.42064689,2.27,0.20251618,5.77,0.0182,1129.0,,5370.0,0.877,0.966,1,Cluster 1,1.005705553636996,1,False,Normal
Kepler-1987 b,Kepler-1987,Transit,2023,2.345863002,1.23,0.10973344,2.04,0.00642,997.0,595.683,4769.0,0.799,0.714,1,Cluster 1,1.0441100842737403,1,False,Normal
Kepler-1801 c,Kepler-1801,Transit,2023,116.583183,2.91,0.25961326,8.8,0.0277,371.0,839.332,5738.0,0.936,0.981,1,Cluster 1,0.9787993664879557,1,False,Normal
EPIC 249893012 c,EPIC 249893012,Transit,2020,15.624,3.67,0.32741547,14.67,0.04615675,990.0,321.296,5430.0,1.05,1.71,1,Cluster 1,1.3665886699000664,1,False,Normal
EPIC 249893012 d,EPIC 249893012,Transit,2020,35.747,3.94,0.35150326,10.18,0.0320297,752.0,321.296,5430.0,1.05,1.71,1,Cluster 1,1.2922780403103362,1,False,Normal
WASP-180 A b,WASP-180 A,Transit,2019,3.409264,13.89916,1.24,286.047,0.9,1540.0,253.985,6600.0,1.3,1.19,0,Cluster 0,1.0123846323582517,1,False,Normal
WASP-2 b,WASP-2,Transit,2007,2.152175,12.116929,1.081,295.89973,0.931,1311.0,153.242,5180.0,0.895,0.866,0,Cluster 0,1.0167634787965232,1,False,Normal
Kepler-949 c,Kepler-949,Transit,2023,20.99757968,2.97,0.26496611,9.11,0.0287,582.0,486.105,5211.0,0.817,0.895,1,Cluster 1,1.0543214934718654,1,False,Normal
Kepler-311 d,Kepler-311,Transit,2023,232.040326,2.05,0.18288907,4.86,0.0153,327.0,778.654,5903.0,0.974,1.156,1,Cluster 1,1.1032352745249523,1,False,Normal
WASP-44 b,WASP-44,Transit,2011,2.423804,12.3299,1.1,276.5121,0.87,1337.0,364.512,5420.0,0.935,0.906,0,Cluster 0,0.9972942187840799,1,False,Normal
WASP-45 b,WASP-45,Transit,2011,3.126089,10.603714,0.946,306.38812,0.964,1153.0,211.196,5150.0,0.85,0.855,0,Cluster 0,0.9999673615217073,1,False,Normal
Kepler-416 d,Kepler-416,Transit,2023,3.07644709,1.61,0.14363483,3.22,0.0101,1253.0,690.819,5670.0,0.949,1.022,1,Cluster 1,0.9922204315699528,1,False,Normal
Kepler-1834 c,Kepler-1834,Transit,2023,0.766691517,1.22,0.1088413,1.98,0.00624,1541.0,500.395,4821.0,0.765,0.788,1,Cluster 1,1.0819650997858994,1,False,Normal
HATS-47 b,HATS-47,Transit,2020,3.9228038,12.520453,1.117,117.27927,0.369,852.9,300.67,4512.0,0.674,0.6564,0,Cluster 0,1.0193278924026903,1,False,Normal
GJ 15 A c,GJ 15 A,Radial Velocity,2018,7600.0,6.67,0.595,36.0,0.1132681,46.14,3.56228,3607.0,0.38,0.38,1,Cluster 1,1.5911979357379544,-1,True,Potential Outlier
Kepler-763 c,Kepler-763,Transit,2023,4.09667624,1.42,0.12668413,2.6,0.00819,938.0,962.459,4999.0,0.8,0.843,1,Cluster 1,0.9741182894009107,1,False,Normal
Kepler-347 d,Kepler-347,Transit,2023,85.517344,3.04,0.2712111,9.48,0.0298,482.0,1298.88,5592.0,1.0,1.451,1,Cluster 1,1.2059701221973897,1,False,Normal
EPIC 248847494 b,EPIC 248847494,Transit,2018,3650.0,12.44199,1.11,4131.79,13.0,183.0,551.886,4898.0,0.9,2.7,0,Cluster 0,1.1588885987493196,1,False,Normal
WASP-184 b,WASP-184,Transit,2019,5.1817,14.90797,1.33,181.1631,0.57,1480.0,663.231,6000.0,1.23,1.65,0,Cluster 0,0.9762848846544822,1,False,Normal
WASP-185 b,WASP-185,Transit,2019,9.38755,14.01125,1.25,311.4734,0.98,1160.0,279.35,5900.0,1.12,1.5,0,Cluster 0,1.1434294475126408,1,False,Normal
Kepler-290 d,Kepler-290,Transit,2023,0.764017553,0.86,0.07672419,0.566,0.00178,1589.0,694.627,5142.0,0.84,0.755,1,Cluster 1,1.0282597444141914,1,False,Normal
Kepler-549 d,Kepler-549,Transit,2023,24.61480613,4.2,0.37469955,16.4,0.0516,586.0,635.145,5312.0,0.859,0.986,1,Cluster 1,1.1045445166153738,1,False,Normal
KMT-2017-BLG-0165L b,KMT-2017-BLG-0165L,Microlensing,2018,,6.45,0.575,34.0,0.11,,4530.0,,0.76,,5,Cluster 5,1.1118721920071792,1,False,Normal
Kepler-865 c,Kepler-865,Transit,2023,6.20920207,0.89,0.07940062,0.64,0.00201,914.0,586.137,5440.0,0.782,0.885,1,Cluster 1,1.2705554387532356,1,False,Normal
